# url, title, company, city
https://jobs.lever.co/gopuff/af22b35f-a85b-447a-95b0-518bd1ed6591, Operations Associate, Bronx, #620, gopuff (New York)
https://jobs.lever.co/gopuff/b3095b83-5276-48aa-8651-19d7c81007fd, Operations Associate, Bronx, #621, gopuff (New York)
https://jobs.lever.co/gopuff/bbc5e6e1-86e4-4d9e-95cd-3ea386c78960, Operations Associate, Bronx, #637, gopuff (New York)
https://jobs.lever.co/gopuff/ce7ad7bd-f0f0-4581-9317-5a39c398ebe4, Operations Associate, Brooklyn, #1041, gopuff (New York)
https://jobs.lever.co/gopuff/980ed8ea-f132-4ca7-ac4b-a86a97ed7dfb, Operations Associate, Brooklyn, #554, gopuff (New York)
https://jobs.lever.co/gopuff/99281338-9bf3-466d-aa81-478f21a6bbe2, Operations Associate, Brooklyn, #629, gopuff (New York)
https://jobs.lever.co/gopuff/c52f101e-f24c-4ce0-b954-f887c360de7d, Operations Associate, Brooklyn, #892, gopuff (New York)
https://jobs.lever.co/gopuff/ea1383bf-2ad6-46b0-b07a-78c079f5d92a, Operations Associate, Flat Iron District, #983, gopuff (New York)
https://jobs.lever.co/gopuff/a9c69fe0-b81b-481b-bdcc-42a7924223cf, Operations Associate, Howard Beach, #541, gopuff (New York)
https://jobs.lever.co/gopuff/a5ca36f6-580e-4874-9e2a-68af9c7129fe, Operations Associate, Jamaica, #881, gopuff (New York)
https://jobs.lever.co/gopuff/11f0f185-6043-47c0-8037-9a4c3d25abcc, Operations Associate, Lower East Side, #880, gopuff (New York)
https://jobs.lever.co/gopuff/dde8c86e-5ee2-4885-84f3-a2fad898ef37, Operations Associate, Manhattan, #807, gopuff (New York)
https://jobs.lever.co/gopuff/e148bfc1-e3db-4572-a1a9-7af305f45cde, Operations Associate, New York, #869, gopuff (New York)
https://jobs.lever.co/gopuff/5aa28e26-93a1-4917-b0c4-722647d47ef4, Operations Associate, New York, #975, gopuff (New York)
https://jobs.lever.co/gopuff/6968a0ed-2f3c-4214-b8f7-a0c4a886bee4, Operations Associate, Queens, #1025, gopuff (New York)
https://jobs.lever.co/gopuff/5b9dd011-2ec6-4fb2-b88f-38e44aebbde4, Operations Associate, Rochester, gopuff (New York)
https://jobs.lever.co/gopuff/2cda8fbe-e2ce-4a13-aff2-b4a9701ad17c, Operations Associate, Rochester, #303, gopuff (New York)
